Brand;Vehicle;Motorisation;Fuel;StartDate;EndDate;Battery_AGM;Battery_EFB;Battery_Conventional
DACIA;DUSTER (HS_)                   1.2 TCe 125, 4x4, 1.6 Sce 115                         Petrole  2013-10  2018-01;DUSTER (HS_)                   1.2 TCe 125, 4x4, 1.6 Sce 115                         Petrole  2013-10  2018-01;DUSTER (HS_)                   1.2 TCe 125, 4x4, 1.6 Sce 115                         Petrole  2013-10  2018-01;2013-10;;;F32;
DACIA;;;Petrole  2015-04;2015-04;;F41;;
DACIA;;BlueHDi 150, 2.0 BlueHDi 180";Diesel    2015-07;2015-07;;F41;;
DACIA;500X (334_)                          1.0, 1.4                                                            Petrole  2014-09;500X (334_)                          1.0, 1.4                                                            Petrole  2014-09;500X (334_)                          1.0, 1.4                                                            Petrole  2014-09;2014-09;;;F31;
DACIA;DOBLO MPV (119_, 223_);1.3 D Multijet, 1.3 JTD 16V, 1.9, 1.9 JTD (223ZXE1A);Diesel    2001-03;2001-03;;;FL1000;F10
DACIA;Cabriolet (EM0/1_)";1.9 dCi;Diesel;2003-09;;F8;FL652;
DACIA;1.6 dCi (DZ00)";1.6 dCi (DZ00)";Diesel;2009-02;;F4;;
DACIA;;THP 130 / PureTech 130";Petrol;;;F41;;
DACIA;Grandtour (KZ0/1)";1.5 dCi (KZ09, KZ0D, KZ1G);Diesel;2009-02;;F4;F31;
DACIA;Grandtour (KZ0/1)";1.5 dCi (KZ0C, KZ1A, KZ1M, KZ1W);Diesel;2009-03;;F4;F31;
DACIA;1.5 dCi  (BZ0C, BZ09, BZ0D, BZ1W)       Diesel    2008-11                                       F31             F4;2.0 HDI 90";Diesel;;;F4;F31;
DACIA;;1.4 Hdi, 1.6 Hdi, 1.6 Hdi 110;Diesel;;;F4;F31;
DACIA;;1.4, 1.6 16V, 1.6 16V Turbo;Petrol;;;;F30;F1
DACIA;3008 MPV (0U_)              1.6 HDI, 1.6 BlueHDi 120                         Diesel    2014-05   2016-08;3008 MPV (0U_)              1.6 HDI, 1.6 BlueHDi 120                         Diesel    2014-05   2016-08;3008 MPV (0U_)              1.6 HDI, 1.6 BlueHDi 120                         Diesel    2014-05   2016-08;2014-05;;F41;;
DACIA;3008 MPV (0U_)              2.0 HDi Hybrid4                                        Diesel/;3008 MPV (0U_)              2.0 HDi Hybrid4                                        Diesel/;3008 MPV (0U_)              2.0 HDi Hybrid4                                        Diesel/;;;F8;FL652;
DACIA;;2.0 BlueHDi 120 / 150 / 180";Diesel;;;F41;;
DACIA;3008 SUV (M_)                1.2 THP/ PureTech 130, 1.6 THP 165      Petrole   2016-05;3008 SUV (M_)                1.2 THP/ PureTech 130, 1.6 THP 165      Petrole   2016-05;3008 SUV (M_)                1.2 THP/ PureTech 130, 1.6 THP 165      Petrole   2016-05;2016-05;;F41;;
DACIA;;308 II                                1.5 BlueHDi 130                                       Diesel    2017-06;308 II                                1.5 BlueHDi 130                                       Diesel    2017-06;2017-06;;;F32;
DACIA;;2.0 BlueHDi 180";Diesel;;;;F32;
DACIA;LEON (1P1);180, 2.0 HDi 180 RXH";Diesel;;;F41;;
DACIA;CAPTUR (J5_, H5_)         1.5 dCi 90 / 110                                        Diesel    2013-06;CAPTUR (J5_, H5_)         1.5 dCi 90 / 110                                        Diesel    2013-06;CAPTUR (J5_, H5_)         1.5 dCi 90 / 110                                        Diesel    2013-06;2013-06;;;F32;
DACIA;CLIO III (BR0/1, CR0/1);;Petrole  2005-06;2005-06;;;F3;
DACIA;ESPACE V (JR_)             1.6 dCi 130 / 160                                      Diesel    2015-06                                       F32";ESPACE V (JR_)             1.6 dCi 130 / 160                                      Diesel    2015-06                                       F32";ESPACE V (JR_)             1.6 dCi 130 / 160                                      Diesel    2015-06                                       F32";2015-06;;;;F12
DACIA;;1.9 TDI, 2.0 TDI                                        Diesel    1995-09   2010-03;1.9 TDI, 2.0 TDI                                        Diesel    1995-09   2010-03;1995-09;;F42;FL800;F12
DACIA;;2.5 R5 TDI, 3.0 V6 TDI, 5.0 V10 TDI        Diesel    2002-10   2010-05;2.5 R5 TDI, 3.0 V6 TDI, 5.0 V10 TDI        Diesel    2002-10   2010-05;2002-10;;F43;FL1000;F10
DACIA;Grandtour (KT0/1)";1.5 dCi (KT0A)                                          Diesel    2007-10   2015-12                        F31            F4;1.5 dCi (KT0A)                                          Diesel    2007-10   2015-12                        F31            F4;2007-10;;F41;;
DACIA;MASTER II Box (FD)        2.5 D, 2.5 dCi 100 / 120, 2.8 dTI, 3.0;MASTER II Box (FD)        2.5 D, 2.5 dCi 100 / 120, 2.8 dTI, 3.0;Diesel    1998-07                                    FL1000;1998-07;;F41;;F10